language,name_english,name,long_name,book_number,abbreviation,testament,division
Filipino,Jeremiah,Jeremias,The Book of Jeremiah,24,JER,OldTestament,MajorProphet
Filipino,Lamentations,Panaghoy,The Book of Lamentations,25,LAM,OldTestament,MajorProphet
Filipino,Ezekiel,Ezekiel,The Book of Ezekiel,26,EZK,OldTestament,MajorProphet
Filipino,Daniel,Daniel,The Book of Daniel,27,DAN,OldTestament,MajorProphet
Filipino,Hosea,Hosea,The Book of Hosea,28,HOS,OldTestament,MinorProphet
Filipino,Joel,Joel,The Book of Joel,29,JOL,OldTestament,MinorProphet
Filipino,Amos,Amos,The Book of Amos,30,AMO,OldTestament,MinorProphet
Filipino,Obadiah,Obadias,The Book of Obadiah,31,OBA,OldTestament,MinorProphet
Filipino,Jonah,Jonas,The Book of Jonah,32,JON,OldTestament,MinorProphet
Filipino,Micah,Micas,The Book of Micah,33,MIC,OldTestament,MinorProphet
Filipino,Nahum,Nahum,The Book of Nahum,34,NAM,OldTestament,MinorProphet
Filipino,Habakkuk,Habakuk,The Book of Habakkuk,35,HAB,OldTestament,MinorProphet
Filipino,Zephaniah,Zefanias,The Book of Zephaniah,36,ZEP,OldTestament,MinorProphet
Filipino,Haggai,Hageo,The Book of Haggai,37,HAG,OldTestament,MinorProphet
Filipino,Zechariah,Zacarias,The Book of Zechariah,38,ZEC,OldTestament,MinorProphet
Filipino,Malachi,Malakias,The Book of Malachi,39,MAL,OldTestament,MinorProphet
Filipino,Matthew,Mateo,The Gospel According to Matthew,40,MAT,NewTestament,Gospel
Filipino,Mark,Marcos,The Gospel According to Mark,41,MRK,NewTestament,Gospel
Filipino,Luke,Lucas,The Gospel According to Luke,42,LUK,NewTestament,Gospel
Filipino,John,Juan,The Gospel According to John,43,JHN,NewTestament,Gospel
Filipino,Acts,Gawa,The Acts of the Apostles,44,ACT,NewTestament,History
Filipino,Romans,Roma,The Epistle to the Romans,45,ROM,NewTestament,PaulineEpistle
Filipino,1 Corinthians,1 Corinto,The First Epistle to the Corinthians,46,1CO,NewTestament,PaulineEpistle
Filipino,2 Corinthians,2 Corinto,The Second Epistle to the Corinthians,47,2CO,NewTestament,PaulineEpistle
Filipino,Galatians,Galacia,The Epistle to the Galatians,48,GAL,NewTestament,PaulineEpistle
Filipino,Ephesians,Efeso,The Epistle to the Ephesians,49,EPH,NewTestament,PaulineEpistle
Filipino,Philippians,Filipos,The Epistle to the Philippians,50,PHP,NewTestament,PaulineEpistle
Filipino,Colossians,Colosas,The Epistle to the Colossians,51,COL,NewTestament,PaulineEpistle
